Dataset,Model,Tuner,Run,F1
CervicalCancer,XGBoost,Grid,2,0.9824
CervicalCancer,XGBoost,Grid,3,0.9572
CervicalCancer,XGBoost,Grid,4,0.9521
CervicalCancer,XGBoost,Grid,5,0.9394
CervicalCancer,XGBoost,Grid,6,0.9568
CervicalCancer,XGBoost,Grid,7,0.9413
CervicalCancer,XGBoost,Grid,8,0.9568
CervicalCancer,XGBoost,Grid,9,0.9717
CervicalCancer,XGBoost,Grid,10,0.977
CervicalCancer,XGBoost,Random,1,0.9368
CervicalCancer,XGBoost,Random,2,0.9641
CervicalCancer,XGBoost,Random,3,0.9499
CervicalCancer,XGBoost,Random,4,0.9589
CervicalCancer,XGBoost,Random,5,0.9394
CervicalCancer,XGBoost,Random,6,0.9568
CervicalCancer,XGBoost,Random,7,0.9351
CervicalCancer,XGBoost,Random,8,0.9401
CervicalCancer,XGBoost,Random,9,0.9717
CervicalCancer,XGBoost,Random,10,0.9717
CervicalCancer,XGBoost,Bayes,1,0.9368
CervicalCancer,XGBoost,Bayes,2,0.977
CervicalCancer,XGBoost,Bayes,3,0.9499
CervicalCancer,XGBoost,Bayes,4,0.9521
CervicalCancer,XGBoost,Bayes,5,0.9394
CervicalCancer,XGBoost,Bayes,6,0.952
CervicalCancer,XGBoost,Bayes,7,0.9351
CervicalCancer,XGBoost,Bayes,8,0.9616
CervicalCancer,XGBoost,Bayes,9,0.977
CervicalCancer,XGBoost,Bayes,10,0.9717
CervicalCancer,RandomForest,No-Tuning,1,0.9472
CervicalCancer,RandomForest,No-Tuning,2,0.976
CervicalCancer,RandomForest,No-Tuning,3,0.9471
CervicalCancer,RandomForest,No-Tuning,4,0.9499
CervicalCancer,RandomForest,No-Tuning,5,0.952
CervicalCancer,RandomForest,No-Tuning,6,0.9401
CervicalCancer,RandomForest,No-Tuning,7,0.9351
CervicalCancer,RandomForest,No-Tuning,8,0.9499
CervicalCancer,RandomForest,No-Tuning,9,0.976
CervicalCancer,RandomForest,No-Tuning,10,0.9572
CervicalCancer,RandomForest,Grid,1,0.9555
CervicalCancer,RandomForest,Grid,2,0.9824
CervicalCancer,RandomForest,Grid,3,0.9572
CervicalCancer,RandomForest,Grid,4,0.9707
CervicalCancer,RandomForest,Grid,5,0.9531
CervicalCancer,RandomForest,Grid,6,0.9717
CervicalCancer,RandomForest,Grid,7,0.9413
CervicalCancer,RandomForest,Grid,8,0.9521
CervicalCancer,RandomForest,Grid,9,0.9824
CervicalCancer,RandomForest,Grid,10,0.9717
CervicalCancer,RandomForest,Random,1,0.9401
CervicalCancer,RandomForest,Random,2,0.9824
CervicalCancer,RandomForest,Random,3,0.9499
CervicalCancer,RandomForest,Random,4,0.9655
CervicalCancer,RandomForest,Random,5,0.9531
CervicalCancer,RandomForest,Random,6,0.9717
CervicalCancer,RandomForest,Random,7,0.9351
CervicalCancer,RandomForest,Random,8,0.9449
CervicalCancer,RandomForest,Random,9,0.9824
CervicalCancer,RandomForest,Random,10,0.9655
CervicalCancer,RandomForest,Bayes,1,0.9472
CervicalCancer,RandomForest,Bayes,2,0.9824
CervicalCancer,RandomForest,Bayes,3,0.9421
CervicalCancer,RandomForest,Bayes,4,0.9589
CervicalCancer,RandomForest,Bayes,5,0.9531
CervicalCancer,RandomForest,Bayes,6,0.9717
CervicalCancer,RandomForest,Bayes,7,0.9473
CervicalCancer,RandomForest,Bayes,8,0.9521
CervicalCancer,RandomForest,Bayes,9,0.9824
CervicalCancer,RandomForest,Bayes,10,0.9717
CervicalCancer,SVM,No-Tuning,1,0.9109
CervicalCancer,SVM,No-Tuning,2,0.9555
CervicalCancer,SVM,No-Tuning,3,0.9373
CervicalCancer,SVM,No-Tuning,4,0.9572
CervicalCancer,SVM,No-Tuning,5,0.9307
CervicalCancer,SVM,No-Tuning,6,0.9237
CervicalCancer,SVM,No-Tuning,7,0.9443
CervicalCancer,SVM,No-Tuning,8,0.9521
CervicalCancer,SVM,No-Tuning,9,0.9421
CervicalCancer,SVM,No-Tuning,10,0.9378
CervicalCancer,SVM,Grid,1,0.9323
CervicalCancer,SVM,Grid,2,0.9568
CervicalCancer,SVM,Grid,3,0.9472
CervicalCancer,SVM,Grid,4,0.9589
CervicalCancer,SVM,Grid,5,0.9394
CervicalCancer,SVM,Grid,6,0.9443
CervicalCancer,SVM,Grid,7,0.9382
CervicalCancer,SVM,Grid,8,0.9555
CervicalCancer,SVM,Grid,9,0.9707
CervicalCancer,SVM,Grid,10,0.9539
CervicalCancer,SVM,Random,1,0.9368
CervicalCancer,SVM,Random,2,0.9616
CervicalCancer,SVM,Random,3,0.9472
CervicalCancer,SVM,Random,4,0.9655
CervicalCancer,SVM,Random,5,0.9394
CervicalCancer,SVM,Random,6,0.952
CervicalCancer,SVM,Random,7,0.9439
CervicalCancer,SVM,Random,8,0.9568
CervicalCancer,SVM,Random,9,0.977
CervicalCancer,SVM,Random,10,0.9666
CervicalCancer,SVM,Bayes,1,0.9368
CervicalCancer,SVM,Bayes,2,0.9616
CervicalCancer,SVM,Bayes,3,0.9472
CervicalCancer,SVM,Bayes,4,0.9655
CervicalCancer,SVM,Bayes,5,0.9394
CervicalCancer,SVM,Bayes,6,0.952
